listing_id,mean,host_is_superhost,host_id,host_since,host_response_time,host_listings_count,host_identity_verified,neighbourhood_cleansed,room_type,price,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,calculated_host_listings_count
49732864,0.7434137931034482,FALSE,395806758,2021-04-06,within an hour,22,TRUE,West Town,Entire home/apt,$40.00,58,4.67,4.76,4.9,4.86,4.84,4.59,1.88,22
49733631,0.7365555555555555,FALSE,395806758,2021-04-06,within an hour,22,TRUE,West Town,Entire home/apt,$40.00,63,4.84,4.81,4.97,4.97,4.81,4.78,2.03,22
49748131,0.6784,FALSE,85015661,2016-07-20,within a few hours,1,TRUE,West Pullman,Entire home/apt,$90.00,65,4.42,4.62,4.62,4.55,4.02,4.28,2.12,1
49800042,0.6043478260869565,FALSE,401631151,2021-05-14,within an hour,3,FALSE,West Pullman,Private room,$35.00,46,4.57,4.43,4.65,4.65,4.52,4.63,1.46,2
49809457,0.833945945945946,FALSE,4057812,2012-11-04,within a few hours,5,TRUE,Lower West Side,Entire home/apt,$80.00,37,4.92,4.84,4.89,4.97,4.86,4.92,1.21,5
49912608,0.6813125,TRUE,402497267,2021-05-20,within an hour,4,TRUE,Loop,Private room,$125.00,48,4.88,4.92,4.81,4.92,4.83,4.81,2.57,4
49912690,0.8437666666666667,FALSE,273461025,2019-07-04,within an hour,3,TRUE,West Town,Entire home/apt,$65.00,60,4.75,4.82,4.62,4.67,5,4.78,1.93,2
49914111,0.6557027027027027,FALSE,68970675,2016-04-26,within an hour,2,TRUE,Humboldt Park,Entire home/apt,$115.00,37,4.59,4.51,4.81,4.86,3.92,4.62,1.21,2
49923914,0.765406779661017,TRUE,19541995,2014-08-06,within an hour,2,TRUE,Douglas,Entire home/apt,$125.00,59,4.92,4.97,4.98,4.98,4.54,4.83,1.97,2
50012376,0.8209387755102041,TRUE,32623547,2015-05-04,within a few hours,1,TRUE,Logan Square,Entire home/apt,$117.00,49,4.9,4.84,4.84,4.86,4.61,4.8,2.59,1
50089804,0.7513650793650793,TRUE,9483312,2013-10-17,within an hour,2,FALSE,Woodlawn,Entire home/apt,$83.00,63,4.87,4.92,4.97,4.94,4.62,4.89,2.06,2
50104464,0.9084545454545454,TRUE,60625634,2016-02-27,within an hour,1,FALSE,Lincoln Park,Entire home/apt,$259.00,44,4.93,4.98,5,5,5,4.82,1.44,1
50129545,0.8751891891891892,TRUE,39699805,2015-07-27,within a few hours,2,TRUE,Lake View,Entire home/apt,$314.00,37,4.92,4.95,5,5,5,4.73,1.21,2
50129627,0.7567460317460317,FALSE,404392415,2021-05-30,within an hour,1,TRUE,West Town,Entire home/apt,$423.00,63,4.65,4.61,4.81,4.77,4.81,4.6,2.19,1
50138899,0.660953488372093,FALSE,260588213,2019-05-08,within an hour,18,TRUE,Mckinley Park,Private room,$29.00,43,4.72,4.7,4.91,4.86,4.63,4.74,1.42,11
50177336,0.7165645161290323,FALSE,395806758,2021-04-06,within an hour,22,TRUE,West Town,Entire home/apt,$40.00,62,4.76,4.85,4.97,4.92,4.77,4.52,2.03,22
50232368,0.892,FALSE,154981011,2017-10-17,within a few hours,1,TRUE,West Town,Entire home/apt,$76.00,41,4.78,4.83,4.71,4.95,4.85,4.83,1.36,1
50291798,0.873484375,TRUE,271246579,2019-06-25,within an hour,2,TRUE,West Town,Entire home/apt,$163.00,64,4.91,4.94,4.97,4.98,4.89,4.83,2.4,1
50303061,0.5751692307692308,FALSE,260588213,2019-05-08,within an hour,18,TRUE,Mckinley Park,Private room,$30.00,65,4.63,4.54,4.92,4.89,4.66,4.6,2.14,11
50325173,0.88854,TRUE,10350152,2013-11-30,within an hour,3,TRUE,West Town,Private room,$105.00,50,4.9,4.96,4.94,4.94,4.9,4.8,1.7,2
50331852,0.6632352941176471,TRUE,40832200,2015-08-07,within an hour,15,TRUE,Brighton Park,Entire home/apt,$62.00,51,4.8,4.75,4.92,4.86,4.65,4.71,1.7,7
50334589,0.8813589743589744,TRUE,269600819,2019-06-18,within an hour,5,TRUE,Irving Park,Entire home/apt,$100.00,39,4.95,4.95,4.85,4.92,4.82,4.9,1.33,5
50424002,0.9317037037037036,FALSE,4883288,2013-01-28,within an hour,2,TRUE,Logan Square,Entire home/apt,$343.00,54,4.93,4.94,5,4.93,4.93,4.78,1.86,2
50424821,0.6347872340425532,FALSE,260588213,2019-05-08,within an hour,18,TRUE,Mckinley Park,Private room,$30.00,47,4.55,4.51,4.87,4.83,4.53,4.53,1.56,11
50425013,0.6200666666666667,FALSE,260588213,2019-05-08,within an hour,18,TRUE,Mckinley Park,Private room,$30.00,60,4.6,4.53,4.78,4.68,4.47,4.45,1.97,11
50433862,0.8668688524590163,FALSE,99273655,2016-10-11,within an hour,1,TRUE,Avondale,Entire home/apt,$176.00,61,5,5,4.97,5,4.87,4.95,2.14,1
50437767,0.8536545454545454,TRUE,147444679,2017-08-23,within an hour,2,FALSE,Near West Side,Entire home/apt,$121.00,55,4.8,4.8,4.96,4.95,4.73,4.88,3.13,2
50441239,0.8526333333333334,TRUE,407519523,2021-06-16,within an hour,1,FALSE,Logan Square,Entire home/apt,$145.00,60,4.85,4.92,4.73,4.95,4.9,4.73,2.01,1
50526328,0.8114390243902438,TRUE,104423227,2016-11-19,within an hour,1,TRUE,Pullman,Entire home/apt,$168.00,41,4.88,4.83,4.98,5,4.88,4.88,1.36,1
50548007,0.7574565217391305,TRUE,408407815,2021-06-21,within an hour,1,TRUE,Irving Park,Entire home/apt,$180.00,46,4.91,4.96,5,5,4.91,4.85,2.35,1
50566631,0.8704565217391305,TRUE,30482715,2015-04-02,within an hour,6,TRUE,West Town,Entire home/apt,$372.00,46,4.96,4.98,4.98,4.93,4.96,4.87,1.65,5
50599177,0.8445957446808511,TRUE,408824247,2021-06-23,within a day,1,TRUE,Washington Park,Entire home/apt,$135.00,47,4.9,4.98,4.77,4.88,4.81,4.9,1.61,1
50637985,0.827734693877551,TRUE,12904658,2014-03-07,within an hour,1,TRUE,Lake View,Entire home/apt,$200.00,49,4.82,4.86,4.9,4.94,5,4.82,1.69,1
50641075,0.762188679245283,FALSE,177188450,2018-03-07,within an hour,59,TRUE,Near North Side,Entire home/apt,$217.00,53,4.72,4.81,4.79,4.72,4.89,4.38,1.84,58
50678129,0.8886274509803922,TRUE,143937691,2017-08-02,within an hour,6,TRUE,Hyde Park,Entire home/apt,$536.00,51,4.94,4.98,4.96,4.92,4.96,4.8,1.93,6
50793099,0.5501147540983606,FALSE,410504785,2021-07-02,within an hour,9,TRUE,Bridgeport,Private room,$33.00,61,4.57,4.51,4.92,4.79,4.51,4.72,2.12,8
50806225,0.5080454545454546,FALSE,410645419,2021-07-03,within an hour,2,TRUE,Austin,Entire home/apt,$100.00,44,4.45,4.52,4.55,4.52,4.5,4.53,1.56,2
50825751,0.57925,FALSE,395651225,2021-04-05,within an hour,2,TRUE,Humboldt Park,Private room,$45.00,40,4.37,4.17,4.63,4.66,4.27,4.46,1.45,2
50915824,0.7731818181818182,TRUE,396715210,2021-04-13,within an hour,1,TRUE,Lower West Side,Entire home/apt,$57.00,55,4.84,4.89,4.75,4.98,4.8,4.71,1.97,1
50916184,0.7297777777777777,FALSE,21056598,2014-09-07,within an hour,2,TRUE,Hyde Park,Entire home/apt,$103.00,45,4.6,4.38,4.8,4.93,4.76,4.56,1.69,1
51023710,0.8454259259259259,FALSE,332893994,2020-02-02,within an hour,1,TRUE,West Town,Entire home/apt,$200.00,54,4.89,4.85,4.93,4.98,4.96,4.78,2.03,1
51067175,0.87025,TRUE,33321452,2015-05-13,within an hour,2,TRUE,Edgewater,Entire home/apt,$93.00,60,4.95,4.98,5,4.98,4.92,4.9,2.16,2
51151407,0.872,TRUE,33278570,2015-05-13,within an hour,3,TRUE,Avondale,Entire home/apt,$103.00,41,4.85,4.83,4.95,4.88,4.78,4.68,1.45,3
51171620,0.8390666666666666,TRUE,414148337,2021-07-20,within an hour,1,TRUE,Lower West Side,Entire home/apt,$232.00,45,4.8,4.82,4.89,4.91,4.84,4.71,1.61,1
5117490,0.841078431372549,FALSE,1407749,2011-11-15,within an hour,2,TRUE,West Town,Private room,$114.00,191,4.92,4.92,4.97,4.96,4.82,4.9,1.78,1
51211000,0.7916393442622951,FALSE,88566861,2016-08-07,within an hour,207,TRUE,Near North Side,Entire home/apt,$167.00,61,4.92,4.93,4.77,4.87,4.95,4.74,2.19,17
51252210,0.8493170731707317,TRUE,22783256,2014-10-21,within an hour,1,TRUE,Grand Boulevard,Private room,$70.00,41,4.93,4.78,4.95,4.9,4.68,4.83,1.65,1
51269869,0.8553191489361702,FALSE,92832983,2016-08-31,within an hour,1,TRUE,Lincoln Park,Entire home/apt,$176.00,47,4.79,4.7,4.85,4.91,4.98,4.55,1.69,1
51288746,0.8609032258064516,TRUE,347782025,2020-05-27,within an hour,1,TRUE,Irving Park,Entire home/apt,$225.00,62,5,4.98,5,4.97,4.98,4.95,2.33,1
51290608,0.7503181818181818,TRUE,180983956,2018-03-27,within an hour,3,TRUE,Irving Park,Private room,$25.00,44,4.84,4.89,5,4.89,4.93,4.84,1.54,3
51347270,0.8502698412698413,TRUE,145539175,2017-08-11,within an hour,1,TRUE,Lake View,Entire home/apt,$179.00,63,4.86,4.83,4.89,4.97,4.89,4.75,2.31,1
51347437,0.608051282051282,TRUE,180983956,2018-03-27,within an hour,3,TRUE,Irving Park,Private room,$31.00,39,4.77,4.87,4.85,4.82,4.77,4.77,1.38,3
51465442,0.7794871794871795,FALSE,8762658,2013-09-11,within an hour,2,TRUE,Logan Square,Entire home/apt,$99.00,39,4.77,4.72,4.9,4.95,4.62,4.69,1.39,2
51475924,0.7880877192982456,FALSE,221473229,2018-10-19,within an hour,1,TRUE,Uptown,Entire home/apt,$184.00,57,4.61,4.61,4.75,4.95,4.72,4.58,2.54,1
51552048,0.8507297297297297,FALSE,9851063,2013-11-06,within an hour,6,TRUE,West Town,Entire home/apt,$158.00,37,4.78,4.86,4.89,4.86,4.89,4.7,2.36,6
51578922,0.7355192307692308,FALSE,24337590,2014-11-30,within an hour,4,TRUE,West Ridge,Entire home/apt,$115.00,52,4.62,4.6,4.73,4.77,4.42,4.58,2.43,4
51603808,0.703972972972973,FALSE,395285372,2021-04-02,within an hour,3,TRUE,West Town,Entire home/apt,$120.00,37,4.66,4.79,4.58,4.89,4.79,4.55,3.04,3
51619207,0.8323636363636364,TRUE,130142205,2017-05-13,within a few hours,2,TRUE,Lincoln Park,Entire home/apt,$415.00,44,4.96,5,4.98,4.98,4.96,4.87,2.69,1
51728958,0.884051282051282,TRUE,419073897,2021-08-18,within an hour,1,TRUE,Albany Park,Entire home/apt,$107.00,39,4.88,4.95,5,4.98,4.9,4.88,1.52,1
51735351,0.5129795918367347,FALSE,410504785,2021-07-02,within an hour,9,TRUE,Bridgeport,Private room,$31.00,49,4.22,4.02,4.8,4.82,4.47,4.41,1.73,8
51735604,0.7980952380952381,TRUE,3056209,2012-07-25,within an hour,5,TRUE,Lower West Side,Entire home/apt,$150.00,63,4.86,4.83,4.86,4.88,4.77,4.75,3.49,5
51787456,0.8355652173913043,TRUE,419497250,2021-08-21,within an hour,2,TRUE,Near West Side,Entire home/apt,$190.00,46,4.98,4.98,4.91,4.87,5,4.85,1.65,2
51797356,0.7951590909090909,TRUE,47593189,2015-10-27,within a few hours,1,TRUE,Irving Park,Entire home/apt,$131.00,44,4.95,5,4.98,4.95,4.98,4.93,1.61,1
51911862,0.5103800000000001,FALSE,410504785,2021-07-02,within an hour,9,TRUE,Bridgeport,Private room,$34.00,50,4.5,4.34,4.74,4.66,4.34,4.48,1.81,8
52024254,0.7308833333333333,FALSE,141453495,2017-07-20,within an hour,2,TRUE,South Lawndale,Entire home/apt,$76.00,60,4.72,4.72,4.68,4.88,4.4,4.63,2.49,2
52042542,0.8468125,FALSE,19002255,2014-07-27,within an hour,1,TRUE,West Town,Entire home/apt,$350.00,64,4.94,4.84,4.88,4.92,4.97,4.77,2.6,1
52112335,0.7396216216216216,FALSE,316227254,2019-12-10,within an hour,4,TRUE,South Shore,Entire home/apt,$302.00,37,4.66,4.68,4.97,4.66,4.37,4.63,1.98,4
52114521,0.7572790697674419,FALSE,177511412,2018-03-09,within an hour,5,TRUE,Lower West Side,Entire home/apt,$105.00,43,4.67,4.7,4.79,4.81,4.7,4.58,1.56,3
52145383,0.8770892857142857,TRUE,184591509,2018-04-16,within an hour,1,FALSE,Lincoln Square,Entire home/apt,$255.00,56,4.96,5,4.98,4.98,4.93,4.91,3.06,1
52189452,0.8296166666666667,TRUE,15449398,2014-05-13,within an hour,1,TRUE,West Town,Entire home/apt,$253.00,60,4.8,4.8,4.9,4.9,4.92,4.8,2.2,1
52221003,0.8574130434782609,TRUE,422733917,2021-09-12,within an hour,1,FALSE,Jefferson Park,Entire home/apt,$150.00,46,4.98,5,4.96,4.98,4.89,4.91,2.73,1
52222847,0.8166944444444445,TRUE,422751057,2021-09-12,within an hour,1,FALSE,Hyde Park,Entire home/apt,$154.00,36,4.86,4.81,4.94,5,4.89,4.86,1.36,1
52224116,0.8958305084745762,FALSE,84789772,2016-07-19,within a few hours,1,TRUE,West Town,Entire home/apt,$184.00,59,4.98,4.88,4.97,4.98,4.9,4.83,2.23,1
52226578,0.81628,TRUE,27275184,2015-02-05,within an hour,8,TRUE,Avondale,Entire home/apt,$124.00,50,4.92,4.82,4.92,4.98,4.84,4.84,2.27,3
52242765,0.5844883720930232,FALSE,371036931,2020-10-07,within an hour,25,TRUE,Near West Side,Private room,$64.00,43,4.67,4.63,4.91,4.81,4.74,4.53,1.66,24
52244562,0.77925,TRUE,102656425,2016-11-06,within an hour,1,TRUE,West Town,Private room,$78.00,36,4.78,4.56,5,4.89,4.86,4.72,1.39,1
52258014,0.6454444444444445,TRUE,72651433,2016-05-18,within an hour,13,TRUE,Austin,Entire home/apt,$111.00,45,4.8,4.89,4.91,4.89,3.84,4.51,1.72,8
52261847,0.9243809523809524,TRUE,309345795,2019-11-13,within an hour,1,TRUE,Lincoln Square,Entire home/apt,$181.00,63,4.97,4.97,4.97,4.95,4.95,4.86,3.33,1
52308229,0.7296410256410256,TRUE,187310633,2018-05-01,within an hour,1,TRUE,West Ridge,Entire home/apt,$225.00,39,4.82,4.77,5,4.97,4.87,4.77,2.65,1
52359201,0.5787966101694916,FALSE,185021145,2018-04-18,within an hour,8,TRUE,Near North Side,Private room,$110.00,59,4.66,4.78,4.81,4.64,4.88,4.46,2.23,8
52373436,0.8107592592592593,TRUE,86633308,2016-07-29,within an hour,1,TRUE,Washington Heights,Entire home/apt,$74.00,54,4.78,4.69,4.93,4.89,4.72,4.74,2.26,1
52421353,0.67,FALSE,23384697,2014-11-05,within an hour,4,TRUE,Rogers Park,Entire home/apt,$96.00,50,4.47,4.57,4.73,4.55,4.71,4.61,1.88,3
52421674,0.9032372881355932,TRUE,1676552,2012-01-30,within an hour,4,TRUE,Lincoln Park,Entire home/apt,$259.00,59,4.98,4.98,5,4.97,4.95,4.78,2.34,3
52512849,0.6817307692307693,FALSE,47172572,2015-10-22,within an hour,55,TRUE,West Town,Entire home/apt,$78.00,52,4.36,4.09,4.74,4.45,4.75,4.38,1.97,55
52521020,0.6385535714285714,FALSE,47172572,2015-10-22,within an hour,55,TRUE,Hyde Park,Entire home/apt,$63.00,56,4.39,4.18,4.44,4.61,4.79,4.47,2.12,55
52550125,0.8509189189189189,FALSE,173305205,2018-02-14,within an hour,7,TRUE,West Town,Entire home/apt,$458.00,37,4.62,4.62,4.73,4.51,4.86,4.54,1.41,6
52555572,0.6348378378378379,FALSE,10821897,2013-12-26,within an hour,6,TRUE,South Lawndale,Private room,$44.00,37,4.57,4.7,4.97,4.84,4.32,4.38,1.38,6
52555897,0.6008139534883721,FALSE,10821897,2013-12-26,within an hour,6,TRUE,North Lawndale,Private room,$44.00,43,4.56,4.74,4.86,4.84,4.12,4.42,1.72,6
52556098,0.6965384615384616,FALSE,10821897,2013-12-26,within an hour,6,TRUE,South Lawndale,Private room,$44.00,39,4.62,4.82,4.92,4.85,3.77,4.38,1.45,6
52611708,0.47532558139534886,FALSE,10821897,2013-12-26,within an hour,6,TRUE,South Lawndale,Private room,$47.00,43,4.58,4.65,4.88,4.79,3.95,4.49,1.64,6
52719151,0.8122909090909091,TRUE,6884844,2013-06-12,within a day,3,TRUE,Rogers Park,Private room,$85.00,55,4.95,4.95,4.96,4.98,4.96,4.84,2.13,2
52724296,0.7884666666666666,TRUE,392930921,2021-03-17,within an hour,1,TRUE,Roseland,Entire home/apt,$185.00,45,4.89,4.91,4.98,4.98,4.29,4.71,1.77,1
52736306,0.8356190476190476,TRUE,51767459,2015-12-19,within an hour,7,TRUE,Dunning,Entire home/apt,$114.00,63,4.97,4.98,4.92,4.97,4.87,4.84,2.45,6
52737674,0.85902,TRUE,35709778,2015-06-13,within an hour,1,TRUE,Lake View,Entire home/apt,$520.00,50,4.94,4.92,4.92,4.94,4.98,4.78,2.02,1
52771197,0.6921833333333334,FALSE,251802469,2019-03-28,within an hour,1,TRUE,Woodlawn,Entire home/apt,$120.00,60,4.72,4.72,4.9,4.85,4.03,4.62,2.47,1
52773402,0.8155945945945946,TRUE,248760412,2019-03-14,within an hour,71,TRUE,West Town,Entire home/apt,$345.00,37,4.85,4.87,4.92,4.97,4.87,4.56,1.53,51
52827826,0.875421052631579,TRUE,87171050,2016-08-01,within an hour,1,TRUE,Norwood Park,Entire home/apt,$146.00,57,4.77,4.68,4.91,4.86,4.91,4.73,2.22,1
52843682,0.8221698113207547,TRUE,232007535,2018-12-22,within an hour,1,FALSE,Avondale,Entire home/apt,$104.00,53,4.72,4.53,4.89,4.92,4.91,4.77,2.02,1
52901533,0.7616153846153846,FALSE,88566861,2016-08-07,within an hour,207,TRUE,Near North Side,Entire home/apt,$154.00,40,4.73,4.76,4.68,4.63,4.88,4.54,1.63,17
52923780,0.8668399999999999,TRUE,295507051,2019-09-16,within an hour,3,TRUE,Irving Park,Entire home/apt,$96.00,50,4.98,4.88,4.98,5,4.86,4.9,2.14,3
52961447,0.8933968253968254,TRUE,408225362,2021-06-20,within an hour,1,FALSE,Lincoln Park,Entire home/apt,$166.00,63,4.97,5,4.92,5,4.95,4.83,2.45,1
52970315,0.6806885245901639,TRUE,279104798,2019-07-25,within an hour,5,TRUE,Washington Heights,Entire home/apt,$194.00,61,4.39,4.44,4.72,4.7,3.98,4.21,2.35,2
53004503,0.3437368421052632,FALSE,47172572,2015-10-22,within an hour,55,TRUE,Lower West Side,Entire home/apt,$73.00,57,4.03,3.83,4.29,4.52,4.53,4.12,2.32,55
53008311,0.7293207547169811,TRUE,72651433,2016-05-18,within an hour,13,TRUE,Auburn Gresham,Entire home/apt,$111.00,53,4.87,4.81,4.91,4.89,4.42,4.7,2.12,8
53023403,0.8061,FALSE,121719854,2017-03-20,within an hour,1670,TRUE,Grand Boulevard,Entire home/apt,$214.00,50,4.98,4.96,4.98,4.96,4.74,4.84,1.94,51
53028488,0.7801891891891892,TRUE,429277939,2021-10-27,within an hour,1,FALSE,Avondale,Entire home/apt,$145.00,37,4.95,4.97,4.84,4.95,4.89,4.84,1.55,1
53129961,0.7644833333333333,FALSE,26567253,2015-01-23,within an hour,5,TRUE,Bridgeport,Entire home/apt,$118.00,60,4.67,4.64,4.97,4.92,4.84,4.64,2.8,3
53183986,0.6856440677966101,FALSE,430524308,2021-11-05,within an hour,4,TRUE,Humboldt Park,Entire home/apt,$104.00,59,4.47,4.59,4.71,4.8,4.63,4.44,2.4,3
53186306,0.7033934426229508,FALSE,225574070,2018-11-13,within a few hours,1,FALSE,Auburn Gresham,Entire home/apt,$136.00,61,4.67,4.72,4.92,4.84,4.54,4.64,2.54,1
53271476,0.8311639344262295,TRUE,219977804,2018-10-10,within an hour,5,TRUE,Armour Square,Entire home/apt,$450.00,61,4.89,4.98,4.92,4.95,4.89,4.74,3.06,5
53289543,0.749135593220339,FALSE,431261724,2021-11-10,within an hour,11,TRUE,Lower West Side,Entire home/apt,$83.00,59,4.75,4.69,4.59,4.81,4.68,4.49,2.35,9
53328222,0.8237567567567567,TRUE,387657635,2021-02-07,within a few hours,1,TRUE,Portage Park,Entire home/apt,$140.00,37,4.84,4.92,5,4.95,4.84,4.95,1.9,1
53345860,0.9099310344827586,FALSE,431928364,2021-11-14,within an hour,1,TRUE,Lower West Side,Entire home/apt,$470.00,58,4.98,4.97,5,5,4.92,4.93,3.35,1
53381319,0.895469387755102,TRUE,195799805,2018-06-15,within an hour,8,TRUE,Lincoln Park,Entire home/apt,$344.00,49,4.94,4.84,4.92,5,5,4.8,2.01,1
53385832,0.8193777777777778,TRUE,52158611,2015-12-24,within an hour,1,FALSE,North Center,Entire home/apt,$110.00,45,4.98,4.96,4.96,5,5,4.89,1.93,1
